dosage,term,df,sumsq,meansq,statistic,p.value,significance
RBD4059-1 mg/kg,time,8,22224.28666666665,2778.035833333331,6.066957581265615,2.73111627171951e-5,****
RBD4059-1 mg/kg,Residuals,45,20605.321666666656,457.8960370370368,NA,NA,NA
RBD4059-3 mg/kg,time,8,38599.5948148148,4824.94935185185,16.285840789499343,5.423348408374877e-11,****
RBD4059-3 mg/kg,Residuals,45,13331.993333333332,296.26651851851847,NA,NA,NA
RBD4059-9 mg/kg,time,9,41683.279333333325,4631.4754814814805,44.9294901364282,2.817708131608854e-19,****
RBD4059-9 mg/kg,Residuals,44,4535.660666666662,103.08319696969687,NA,NA,NA
