term,df,sumsq,meansq,statistic,p.value,significance
sample,4,26.65349954763956,6.66337488690989,85.59057076435481,4.288024839510733e-64,****
time,34,67.82269086179238,1.9947850253468347,25.6228700574884,4.314586622792975e-118,****
sample:time,136,10.021012118901673,0.07368391263898288,0.946464553767,0.6527664716488563,ns
Residuals,1215,94.58986445931248,0.07785174029573044,NA,NA,NA
