,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,Enoxaparine,Enoxaparine,Enoxaparine,Enoxaparine,Enoxaparine,Enoxaparine,Enoxaparine,Enoxaparine,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg
15,0.077335,0.73941,0.049389,0.513899,0.078251,0.018569,0.383245,0.531964,0.511834,0.426504,0.38157,0.355607,0.882479,0.231695,0.035084,0.715441,0.834109,0.578821,0.910467,0.040642,0.000448,0.062976,0.589797,0.41555,0.815853,0.28409,0.850747,0.767873,0.314492,0.871476,0.873862,0.065937,0.605961,0.362691,0.923107,0.879832,0.736436,0.745806,0.742905,0.673763
16,0.073475,0.684335,0.053475,0.447255,0.071223,-0.024774,0.317248,0.412213,0.456428,0.388676,0.354434,0.335353,0.872628,0.207489,0.00461,0.684011,0.830364,0.55148,0.977731,0.03996,0.001482,0.061383,0.562585,0.375557,0.801057,0.213119,0.834999,0.742625,0.301705,0.857827,0.824175,0.060381,0.516557,0.255581,0.839556,0.846245,0.737642,0.727304,0.726779,0.666886
17,0.070878,0.63392,0.06074,0.368621,0.045635,-0.034391,0.240255,0.293565,0.425163,0.367167,0.306803,0.316356,0.850678,0.173106,-0.017173,0.668063,0.815039,0.518462,1.002126,0.0392,-0.006579,0.061152,0.547396,0.313267,0.780263,0.157589,0.831147,0.734978,0.266096,0.85387,0.813386,0.05349,0.38392,0.162364,0.799962,0.774981,0.747014,0.712278,0.721817,0.658654
18,0.068534,0.569445,0.060305,0.18821,0.067696,-0.02667,0.167182,0.177557,0.397925,0.318209,0.299294,0.293404,0.84159,0.16298,-0.009027,0.651182,0.818566,0.485501,1.057849,0.039422,-0.006195,0.064361,0.513043,0.268382,0.757343,0.132624,0.806815,0.721853,0.261965,0.841296,0.787659,0.052517,0.193879,0.111258,0.770615,0.797308,0.790457,0.699151,0.708338,0.636479
19,0.067822,0.50516,0.066359,0.028926,0.091457,-0.007326,0.096935,0.100809,0.344354,0.270173,0.313817,0.280213,0.828248,0.130119,-0.014813,0.641721,0.799901,0.450119,1.084016,0.04004,-0.005604,0.06293,0.473228,0.254128,0.735228,0.103293,0.794522,0.714403,0.258916,0.834083,0.741167,0.054891,0.055625,0.105824,0.82708,0.847867,0.750686,0.685326,0.690138,0.613784
20,0.0675,0.438181,0.06827,-0.012945,0.223847,-0.021625,0.084081,0.029602,0.327148,0.214456,0.318426,0.281631,0.818821,0.134108,-0.014041,0.605131,0.782735,0.416674,1.072375,0.040689,-0.006283,0.061452,0.42291,0.2254,0.717993,0.094465,0.788241,0.691608,0.214651,0.820263,0.696019,0.061304,-0.028502,0.105124,0.905589,0.952166,0.750741,0.681631,0.678381,0.582482
21,0.074348,0.381571,0.071411,-0.004384,0.80538,-0.032077,0.081511,-0.034959,0.343877,0.174374,0.307299,0.270818,0.803076,0.142679,-0.010751,0.567337,0.770375,0.383249,1.060987,0.036886,-0.011214,0.060413,0.358049,0.156432,0.695431,0.084403,0.775859,0.673343,0.186125,0.812192,0.666706,0.057133,-0.059779,0.099382,1.038075,1.093298,0.717455,0.676734,0.656978,0.567393
22,0.074049,0.327062,0.073567,-0.002466,0.75273,-0.035812,0.08795,-0.059072,0.367541,0.121456,0.27595,0.266771,0.790299,0.161932,-0.009095,0.56112,0.757703,0.361178,1.046867,0.038471,-0.011952,0.061567,0.27619,0.115364,0.677949,0.087504,0.772799,0.666825,0.146189,0.806879,0.660933,0.05626,-0.065353,0.096027,1.199876,1.292226,0.746923,0.674227,0.65235,0.567143
23,0.074233,0.266816,0.067967,-0.002226,0.099461,-0.034196,0.086372,-0.037049,0.385581,0.119783,0.229013,0.277219,0.77977,0.198242,-0.01209,0.567878,0.740193,0.3829,1.03143,0.040151,-0.0059,0.05942,0.174519,0.098169,0.658991,0.097724,0.753488,0.64394,0.079202,0.802719,0.639074,0.061931,-0.079353,0.093022,1.40279,1.46198,0.698401,0.668646,0.637816,0.541989
24,0.079656,0.211067,0.061705,-0.007502,0.095885,-0.027868,0.088714,-0.041343,0.394112,0.127397,0.278007,0.304194,0.776307,0.251355,-0.014087,0.604738,0.729456,0.404815,1.025559,0.040087,-0.026656,0.060782,0.067581,0.098718,0.647553,0.100983,0.754748,0.634807,0.092088,0.790582,0.654683,0.064289,-0.079991,0.089461,1.564753,1.628489,0.688791,0.661785,0.623078,0.527379
25,0.076922,0.129788,0.053324,-0.009252,0.09636,-0.037736,0.07245,-0.032232,0.411556,0.161401,0.289877,0.334324,0.759912,0.298686,-0.01007,0.665975,0.71694,0.360268,1.009819,0.041292,-0.017237,0.064985,-0.027399,0.094083,0.631504,0.107754,0.749834,0.615056,0.114024,0.791096,0.623716,0.060645,-0.060119,0.085262,1.660457,1.676517,0.702858,0.65048,0.60971,0.532819
