term,df,sumsq,meansq,statistic,p.value,readout,significance
sample,4,0.9229750457875449,0.23074376144688621,27.471041274761085,3.1226060176078235e-10,APTT,****
Residuals,34,0.2855839285714284,0.008399527310924365,NA,NA,APTT,NA
sample,4,40484.28650000003,10121.071625000008,85.22090117815893,1.5306809821245537e-17,FXI Activity,****
Residuals,35,4156.6975,118.76278571428573,NA,NA,FXI Activity,NA
sample,4,31696.05850000001,7924.0146250000025,69.73170525120842,3.5112579790026947e-16,FXI mRNA,****
Residuals,35,3977.251249999997,113.63574999999992,NA,NA,FXI mRNA,NA
