comparison,mean rank diff,pval,significance
RBD4059-3 mg/kg-RBD4059-1 mg/kg,6,0.07918352647338082,ns
RBD4059-9 mg/kg-RBD4059-1 mg/kg,10.366666666666665,0.002094771661095849,**
RBD4059-9 mg/kg-RBD4059-3 mg/kg,4.366666666666665,0.1532766896452775,ns
